method,skill_family,role,checkpoint,n,success_rate
ace_context,S01,id,S000,2,0.0
ace_context,S01,id,S030,2,0.0
ace_context,S01,retention,S000,3,0.0
ace_context,S01,retention,S030,3,0.0
ace_context,S01,transfer,S000,3,0.0
ace_context,S01,transfer,S030,3,0.0
ace_context,S03,transfer,S000,2,0.0
ace_context,S03,transfer,S030,2,0.0
ace_context,S04,id,S000,5,0.0
ace_context,S04,id,S030,5,0.0
ace_context,S04,retention,S000,3,0.0
ace_context,S04,retention,S030,3,0.0
ace_context,S04,transfer,S000,5,0.0
ace_context,S04,transfer,S030,5,0.0
ace_context,S06,retention,S000,1,1.0
ace_context,S06,retention,S030,1,0.0
ace_context,S07,id,S000,1,0.0
ace_context,S07,id,S030,1,0.0
ace_context,S08,id,S000,1,0.0
ace_context,S08,id,S030,1,0.0
ace_context,S08,retention,S000,3,0.0
ace_context,S08,retention,S030,3,0.0
ace_context,S10,id,S000,1,0.0
ace_context,S10,id,S030,1,0.0
none,S01,id,S000,2,0.0
none,S01,id,S030,2,0.0
none,S01,retention,S000,3,0.0
none,S01,retention,S030,3,0.0
none,S01,transfer,S000,3,0.0
none,S01,transfer,S030,3,0.0
none,S03,transfer,S000,2,0.0
none,S03,transfer,S030,2,0.0
none,S04,id,S000,5,0.2
none,S04,id,S030,5,0.0
none,S04,retention,S000,3,0.0
none,S04,retention,S030,3,0.0
none,S04,transfer,S000,5,0.0
none,S04,transfer,S030,5,0.0
none,S06,retention,S000,1,1.0
none,S06,retention,S030,1,0.0
none,S07,id,S000,1,0.0
none,S07,id,S030,1,0.0
none,S08,id,S000,1,0.0
none,S08,id,S030,1,0.0
none,S08,retention,S000,3,0.0
none,S08,retention,S030,3,0.0
none,S10,id,S000,1,0.0
none,S10,id,S030,1,0.0
raw_memory,S01,id,S000,2,0.0
raw_memory,S01,id,S030,2,0.0
raw_memory,S01,retention,S000,3,0.0
raw_memory,S01,retention,S030,3,0.0
raw_memory,S01,transfer,S000,3,0.0
raw_memory,S01,transfer,S030,3,0.0
raw_memory,S03,transfer,S000,2,0.0
raw_memory,S03,transfer,S030,2,0.0
raw_memory,S04,id,S000,5,0.0
raw_memory,S04,id,S030,5,0.0
raw_memory,S04,retention,S000,3,0.3333
raw_memory,S04,retention,S030,3,0.0
raw_memory,S04,transfer,S000,5,0.0
raw_memory,S04,transfer,S030,5,0.0
raw_memory,S06,retention,S000,1,1.0
raw_memory,S06,retention,S030,1,1.0
raw_memory,S07,id,S000,1,0.0
raw_memory,S07,id,S030,1,0.0
raw_memory,S08,id,S000,1,0.0
raw_memory,S08,id,S030,1,0.0
raw_memory,S08,retention,S000,3,0.0
raw_memory,S08,retention,S030,3,0.0
raw_memory,S10,id,S000,1,0.0
raw_memory,S10,id,S030,1,0.0
worldmind,S01,id,S000,2,0.0
worldmind,S01,id,S030,2,0.0
worldmind,S01,retention,S000,3,0.0
worldmind,S01,retention,S030,3,0.0
worldmind,S01,transfer,S000,3,0.0
worldmind,S01,transfer,S030,3,0.0
worldmind,S03,transfer,S000,2,0.0
worldmind,S03,transfer,S030,2,0.0
worldmind,S04,id,S000,5,0.0
worldmind,S04,id,S030,5,0.2
worldmind,S04,retention,S000,3,0.0
worldmind,S04,retention,S030,3,0.0
worldmind,S04,transfer,S000,5,0.0
worldmind,S04,transfer,S030,5,0.0
worldmind,S06,retention,S000,1,0.0
worldmind,S06,retention,S030,1,1.0
worldmind,S07,id,S000,1,0.0
worldmind,S07,id,S030,1,0.0
worldmind,S08,id,S000,1,0.0
worldmind,S08,id,S030,1,0.0
worldmind,S08,retention,S000,3,0.0
worldmind,S08,retention,S030,3,0.0
worldmind,S10,id,S000,1,0.0
worldmind,S10,id,S030,1,0.0
