method,source,n,success_rate
ace_context,AsgardBench,8,0.0
ace_context,EB-ALFRED,12,0.0
ace_context,EB-Habitat,12,0.0
ace_context,SpatialWorld,14,0.0714
ace_context,TVRBench,14,0.0
none,AsgardBench,8,0.0
none,EB-ALFRED,12,0.0
none,EB-Habitat,12,0.0833
none,SpatialWorld,14,0.0714
none,TVRBench,14,0.0
raw_memory,AsgardBench,8,0.0
raw_memory,EB-ALFRED,12,0.0833
raw_memory,EB-Habitat,12,0.0
raw_memory,SpatialWorld,14,0.1429
raw_memory,TVRBench,14,0.0
worldmind,AsgardBench,8,0.0
worldmind,EB-ALFRED,12,0.0
worldmind,EB-Habitat,12,0.0833
worldmind,SpatialWorld,14,0.0714
worldmind,TVRBench,14,0.0
